#{"t_start": 1787377522.2671418, "env_id": "None"}
r,l,t
-5.0,2,3.670022
-5.0,2,12.03444
-5.0,4,24.557759
-5.0,5,38.421992
-5.0,2,45.909593
-5.0,4,58.198292
-5.0,3,68.13804
-5.0,3,78.088324
-5.0,5,92.873261
-5.0,2,110.6292
-5.0,3,120.900406
-5.0,1,126.689229
-5.0,2,134.49126
-5.0,2,142.715516
-5.0,3,152.679895
-5.0,6,169.79815
-5.0,4,182.179318
-5.0,2,190.073575
-5.0,2,198.219323
-5.0,4,241.31281
-5.0,2,249.70569
-5.0,4,262.063343
-5.0,2,270.26573
-5.0,4,282.429174
-5.0,4,294.690267
-5.0,2,302.777603
-5.0,2,310.943369
-5.0,2,319.167879
-5.0,4,331.264471
-4.0,3,341.494105
-5.0,2,358.820771
-5.0,2,366.949802
-5.0,5,382.300614
-5.0,2,390.466287
-5.0,2,398.528169
-5.0,2,406.344192
-5.0,2,414.48677
-5.0,3,424.426903
-5.0,4,437.445234
-5.0,4,449.848761
-5.0,2,457.987557
-5.0,1,476.105681
-5.0,2,484.272237
-5.0,3,494.800609
-5.0,2,502.639542
-5.0,2,510.352758
-5.0,3,521.028689
-5.0,2,529.178499
